,Player,Touches,Matches
0,Ahmed Jahouh,1827,20
1, Edu Bedia , 1747 , 20 
2, Rowllin Borges , 1348 , 20 
3, Mourtada Fall , 1295 , 22 
4, Ivan Gonzalez , 1279 , 19 
5, Akash Mishra , 1250 , 20 
6, Alberto Noguera , 1225 , 20 
7, Jorge Mendoza , 1214 , 21 
8, Asish Rai , 1161 , 18 
9, Pritam Kotal , 1153 , 22 
10, Hernan Santana , 1140 , 19 
11, Vicente Gomez , 1134 , 19 
12, Carl McHugh , 1082 , 21 
13, Khassa Camara , 1066 , 21 
14, Memo Moura , 1053 , 19 
15, Saviour Gama , 1038 , 21 
16, Seriton  Fernandes , 1029 , 19 
17, Hugo Boumous , 1028 , 16 
18, Lalengmawia , 1024 , 22 
19, Aitor Monroy , 1002 , 19 
20, Ricky Lallawmawma , 986 , 20 
21, Subhasish Bose , 984 , 20 
22, James Donachie , 977 , 18 
23, Scott Neville , 974 , 16 
24, Odei Onaindia , 973 , 20 
25, Amey Ranawade , 973 , 20 
26, Erik Paartalu , 970 , 18 
27, Jacques Maghoma , 963 , 19 
28, Tiri , 961 , 21 
29, Reagan Singh , 944 , 18 
30, Eli Sabia , 938 , 19 
31, Stephen Eze , 932 , 20 
32, Raynier Fernandes , 928 , 21 
33, Narayan Das , 927 , 17 
34, Jerry Lalrinzuala , 927 , 19 
35, Lenny Rodrigues , 916 , 19 
36, Chinglensana Singh , 907 , 18 
37, Sandesh Jhingan , 906 , 22 
38, Joao Victor , 902 , 17 
39, Jacob , 883 , 17 
40, Lallianzuala Chhangte , 878 , 20 
41, Halicharan Narzary , 869 , 20 
42, Matti Steinmann , 866 , 17 
43, Alexandre Lima , 847 , 19 
44, Cole Alexander , 841 , 15 
45, Dimas Delgado , 825 , 13 
46, Benjamin Lambot , 813 , 21 
47, Gaurav Bora , 812 , 18 
48, Daniel Fox , 798 , 16 
49, Peter Hartley , 796 , 19 
50, Sunil Chhetri , 779 , 20 
51, Costa Nhamoinesu , 768 , 16 
52, Harmanjot Khabra , 766 , 16 
53, Federico Gallego , 765 , 16 
54, Gurjinder Kumar , 763 , 18 
55, Amrinder Singh , 761 , 23 
56, Dylan Fox , 756 , 21 
57, Suresh Wangjam , 755 , 19 
58, David Williams , 745 , 20 
59, Luis Machado , 745 , 22 
60, Manvir Singh , 734 , 23 
61, Gurpreet Singh Sandhu , 733 , 19 
62, Aridane Santana , 730 , 18 
63, Juanan , 724 , 14 
64, Ashutosh Mehta , 718 , 18 
65, Vinit Rai , 716 , 16 
66, Enes Sipovic , 715 , 18 
67, Bipin Singh , 702 , 22 
68, Anthony Pilkington , 700 , 17 
69, Vignesh Dakshinamurthy , 691 , 22 
70, Cleiton Silva , 683 , 18 
71, Jerry Mawihmingthanga , 662 , 17 
72, Jessel Carneiro , 658 , 16 
73, Roy Krishna , 653 , 23 
74, Sandeep Singh , 650 , 14 
75, Laldinliana Renthlei , 644 , 15 
76, Cy Goddard , 641 , 19 
77, Rahul Bheke , 639 , 15 
78, Hitesh Sharma , 639 , 15 
79, Albino Gomes , 617 , 20 
80, Alexander Jesuraj , 604 , 21 
81, Mandar Rao Dessai , 600 , 17 
82, TP Rehenesh , 597 , 19 
83, Glan Martins , 594 , 15 
84, Vishal Kaith , 587 , 20 
85, Adam Le Fondre , 587 , 23 
86, Steven Taylor , 586 , 17 
87, Diego Mauricio , 583 , 20 
88, Nerijus Valskis , 582 , 18 
89, Javier Hernandez , 578 , 17 
90, Hendry Antonay , 571 , 11 
91, Lluis Sastre , 571 , 12 
92, Shubham Sarangi , 566 , 14 
93, Jeakson Singh , 566 , 16 
94, Deepak Tangri , 561 , 17 
95, Princeton Rebello , 557 , 17 
96, Suhair Vadakkepeedika , 557 , 19 
97, Bright , 554 , 12 
98, Manuel Onwu , 544 , 18 
99, Facundo Pereyra , 536 , 12 
100, Anirudh Thapa , 535 , 14 
101, Brandon Fernandes , 533 , 12 
102, Ankit Mukherjee , 530 , 12 
103, Jakub Sylvestr , 530 , 19 
104, Gary Hooper , 523 , 18 
105, Arindam Bhattacharja , 523 , 23 
106, Rahul KP , 516 , 17 
107, Mohammed Yasir , 516 , 18 
108, Bakary Kone , 513 , 14 
109, Prabir Das , 510 , 20 
110, Sahal Abdul Samad , 507 , 14 
111, Edu Garcia , 501 , 11 
112, Parag Srivas , 492 , 11 
113, Francisco Gonzalez , 489 , 18 
114, Sarthak Golui , 483 , 9 
115, Jordan Murray , 480 , 19 
116, Nishu Kumar , 475 , 9 
117, Mohammad Mobashir , 467 , 19 
118, Rahim Ali , 462 , 16 
119, Liston Colaco , 459 , 19 
120, Arshdeep Singh , 448 , 16 
121, Pratik Chaudhari , 445 , 15 
122, Isaac Vanmalsawma , 434 , 16 
123, Bartholomew Ogbeche , 431 , 23 
124, Udanta Singh , 429 , 17 
125, Laxmikant Kattimani , 421 , 14 
126, Surchandra Singh , 417 , 13 
127, Pronay Halder , 410 , 16 
128, Juan de Dios , 409 , 10 
129, Edwin Vanspaul , 406 , 14 
130, Subhasish Roy , 403 , 15 
131, Jackichand Singh , 396 , 18 
132, Mohammed Rafique , 391 , 15 
133, Seiminlen Doungel , 382 , 15 
134, Farukh Choudhary , 376 , 14 
135, Mehtab Singh , 373 , 12 
136, Rakesh Pradhan , 372 , 9 
137, Rafael Crivellaro , 368 , 7 
138, Igor Angulo , 367 , 21 
139, Adil Khan , 362 , 12 
140, Marcelo Pereira , 358 , 16 
141, Ashique Kuruniyan , 355 , 8 
142, Debjit Majumder , 351 , 15 
143, Idrissa Sylla , 350 , 18 
144, Deshorn Brown , 345 , 20 
145, Esmael Goncalves , 335 , 16 
146, Prasanth Karuthadathkuni , 334 , 13 
147, Narender Gahlot , 316 , 10 
148, Nim Dorjee , 315 , 7 
149, Yondrembem Denechandra , 312 , 6 
150, Mashoor Shereef , 311 , 11 
151, Nikhil Poojary , 304 , 10 
152, Provat Lakra , 304 , 11 
153, Fatkhullo Fatkhuloev , 304 , 16 
154, Joel Chianese , 302 , 12 
155, Mohammad Nawaz , 296 , 10 
156, Rohit Kumar , 290 , 11 
157, Ninthoinganba Meetei , 288 , 13 
158, Ajith Kumar , 285 , 8 
159, Dheeraj Singh , 285 , 9 
160, Mohamad Rakip , 284 , 9 
161, Subrata Paul , 284 , 10 
162, Wahengbam Luwang , 283 , 12 
163, Nandhakumar Sekar , 277 , 11 
164, Raju Gaikwad , 276 , 7 
165, Daniel Lalhlimpuia , 263 , 12 
166, Bradden Inman , 263 , 13 
167, Milan Singh , 254 , 8 
168, Jayesh Rane , 236 , 16 
169, Rana Gharami , 232 , 7 
170, Germanpreet Singh , 217 , 11 
171, Kristian Opseth , 215 , 15 
172, Aiban Dohling , 214 , 8 
173, Sehnaj Singh , 212 , 6 
174, Aniket Jadhav , 211 , 14 
175, Souvik Chakrabarti , 208 , 7 
176, Aaron Amadi-Holloway , 208 , 13 
177, Ajay Chhetri , 206 , 5 
178, Lalrempuia Fanai , 199 , 9 
179, Manuel Lanzarote , 198 , 5 
180, Bikash Jairu , 195 , 4 
181, Thoi Singh , 194 , 12 
182, Mohamed Irshad , 193 , 4 
183, Seityasen Singh , 187 , 12 
184, Redeem Tlang , 182 , 10 
185, Gurmeet , 176 , 8 
186, Rochharzela , 176 , 12 
187, Sergio Cidoncha , 175 , 3 
188, Lalthathanga Khawlhring , 168 , 10 
189, Kwesi Appiah , 166 , 8 
190, Mohd Sajid Dhot , 165 , 6 
191, William Lalnunfela , 165 , 11 
192, Sumit Rathi , 164 , 6 
193, Devendra Murgaonkar , 158 , 13 
194, Paul Ramfangzauva , 156 , 5 
195, Lalruatthara , 155 , 5 
196, Fran Sandaza , 152 , 11 
197, John Fitzgerald , 137 , 8 
198, Sourav Das , 135 , 4 
199, Roland , 129 , 8 
200, Amarjit Singh , 124 , 9 
201, Amay Morajkar , 122 , 8 
202, David Grande , 120 , 6 
203, Sahil Sheikh , 115 , 7 
204, Xisco Hernandez , 113 , 6 
205, Imran Khan , 109 , 6 
206, Leon Augustin , 104 , 9 
207, Haobam Singh , 102 , 4 
208, Jeje Lalpekhlua , 99 , 7 
209, Britto PM , 99 , 11 
210, Mohamed Ali , 98 , 5 
211, Naveen Kumar , 97 , 4 
212, Laishram Singh , 96 , 6 
213, Sanson Pereira , 90 , 4 
214, Harmanpreet Singh , 90 , 7 
215, George D'souza , 87 , 2 
216, Sahil Tavora , 87 , 10 
217, Kamalpreet Singh , 86 , 4 
218, Saurabh Meher , 80 , 3 
219, Vikram Partap Singh , 80 , 11 
220, Lalchhuanmawia Fanai , 79 , 4 
221, Abdul Hakku , 73 , 3 
222, Jitendra Singh , 72 , 9 
223, S Lalhrezuala , 71 , 2 
224, Nongdamba Naorem , 70 , 3 
225, Sandip Mandi , 69 , 4 
226, Balwant Singh , 62 , 3 
227, Pranjal Bhumij , 62 , 4 
228, Abhishek Ambekar , 62 , 4 
229, Yumnam Singh , 55 , 4 
230, Samuel Lalmuanpuia , 54 , 3 
231, Kamaljit Singh , 54 , 3 
232, Joyner Lourenco , 52 , 5 
233, Ravi Kumar , 46 , 2 
234, Pawan Kumar , 46 , 2 
235, Ritwik Das , 45 , 4 
236, Loken Meitei , 44 , 1 
237, Eugeneson Lyngdoh , 44 , 2 
238, Givson Singh , 44 , 3 
239, Dhanpal Ganesh , 38 , 10 
240, Mirshad Michu , 37 , 1 
241, Rohit Danu , 37 , 5 
242, Ishan Pandita , 36 , 11 
243, N Rohen Singh , 35 , 1 
244, Lalthuammawia Ralte , 34 , 1 
245, Komal Thatal , 33 , 5 
246, Thoiba Singh , 30 , 1 
247, Boris Singh , 30 , 3 
248, Karan Amin , 29 , 2 
249, CK Vineeth , 27 , 2 
250, Abhishek Halder , 27 , 4 
251, Namgyal Bhutia , 26 , 2 
252, Naorem Singh , 26 , 2 
253, Salam Singh , 25 , 1 
254, Wungngayam Muirang , 23 , 2 
255, Leander D'Cunha , 21 , 1 
256, Regin Michael , 21 , 3 
257, Laldanmawia Ralte , 20 , 2 
258, Sankar Roy , 17 , 1 
259, Isak Vanlalruatfela , 15 , 2 
260, Edmund Lalrindika , 15 , 3 
261, Semboi  Haokip , 11 , 5 
262, Michael Soosairaj , 10 , 1 
263, Makan Chothe , 10 , 1 
264, Tondonba Singh , 10 , 2 
265, Lalawmpuia , 10 , 2 
266, Sahil Panwar , 8 , 3 
267, Ayush Adhikari , 7 , 1 
268, Pragyan Gogoi , 6 , 2 
269, N Engson Singh , 4 , 1 
270, Baoringdao Bodo , 3 , 1 
271, Pandiyan Sinivasan , 2 , 1 
